timestamp,horizontalerror,verticalerror,satellite
10-28 00,3,6,GPS
10-28 01,9,3,GPS
10-28 02,8,4,GPS
10-28 03,8,4,GPS
10-28 04,1,5,GPS
10-28 05,1,3,GPS
10-28 06,5,2,GPS
10-28 07,9,1,GPS
10-28 08,6,4,GPS
10-28 09,1,5,GPS
10-28 10,2,9,GPS
10-28 11,3,9,GPS
10-28 12,5,8,GPS
10-28 13,2,5,GPS
10-28 14,6,2,GPS
10-28 15,2,10,GPS
10-28 16,6,10,GPS
10-28 17,3,1,GPS
10-28 18,0,1,GPS
10-28 19,3,10,GPS
10-28 20,10,3,GPS
10-28 21,4,8,GPS
10-28 22,9,1,GPS
10-28 23,9,6,GPS
10-28 24,8,4,GPS
10-28 00,4,2,GLONASS
10-28 01,7,7,GLONASS
10-28 02,10,3,GLONASS
10-28 03,9,3,GLONASS
10-28 04,10,9,GLONASS
10-28 05,4,10,GLONASS
10-28 06,4,8,GLONASS
10-28 07,9,5,GLONASS
10-28 08,4,3,GLONASS
10-28 09,6,8,GLONASS
10-28 10,5,4,GLONASS
10-28 11,9,9,GLONASS
10-28 12,1,5,GLONASS
10-28 13,9,4,GLONASS
10-28 14,4,4,GLONASS
10-28 15,2,6,GLONASS
10-28 16,1,1,GLONASS
10-28 17,8,5,GLONASS
10-28 18,0,7,GLONASS
10-28 19,7,1,GLONASS
10-28 20,10,1,GLONASS
10-28 21,6,0,GLONASS
10-28 22,1,2,GLONASS
10-28 23,0,5,GLONASS
10-28 24,7,4,GLONASS
10-28 00,8,1,Galileo
10-28 01,3,5,Galileo
10-28 02,8,9,Galileo
10-28 03,7,9,Galileo
10-28 04,3,2,Galileo
10-28 05,4,2,Galileo
10-28 06,5,9,Galileo
10-28 07,3,9,Galileo
10-28 08,2,2,Galileo
10-28 09,2,9,Galileo
10-28 10,9,6,Galileo
10-28 11,3,2,Galileo
10-28 12,3,1,Galileo
10-28 13,10,5,Galileo
10-28 14,8,8,Galileo
10-28 15,5,10,Galileo
10-28 16,2,7,Galileo
10-28 17,1,10,Galileo
10-28 18,2,0,Galileo
10-28 19,2,8,Galileo
10-28 20,0,7,Galileo
10-28 21,6,0,Galileo
10-28 22,4,9,Galileo
10-28 23,4,5,Galileo
10-28 24,6,1,Galileo
10-28 00,8,1,BeiDou
10-28 01,3,9,BeiDou
10-28 02,4,6,BeiDou
10-28 03,1,3,BeiDou
10-28 04,1,5,BeiDou
10-28 05,3,8,BeiDou
10-28 06,9,2,BeiDou
10-28 07,5,6,BeiDou
10-28 08,6,7,BeiDou
10-28 09,1,8,BeiDou
10-28 10,5,7,BeiDou
10-28 11,1,1,BeiDou
10-28 12,7,3,BeiDou
10-28 13,8,9,BeiDou
10-28 14,8,6,BeiDou
10-28 15,7,1,BeiDou
10-28 16,9,7,BeiDou
10-28 17,7,1,BeiDou
10-28 18,9,7,BeiDou
10-28 19,7,0,BeiDou
10-28 20,3,9,BeiDou
10-28 21,5,5,BeiDou
10-28 22,5,10,BeiDou
10-28 23,4,0,BeiDou
10-28 24,5,10,BeiDou
10-29 00,3,6,GPS
10-29 01,9,3,GPS
10-29 02,8,4,GPS
10-29 03,8,4,GPS
10-29 04,1,5,GPS
10-29 05,1,3,GPS
10-29 06,5,2,GPS
10-29 07,9,1,GPS
10-29 08,6,4,GPS
10-29 09,1,5,GPS
10-29 10,2,9,GPS
10-29 11,3,9,GPS
10-29 12,5,8,GPS
10-29 13,2,5,GPS
10-29 14,6,2,GPS
10-29 15,2,10,GPS
10-29 16,6,10,GPS
10-29 17,3,1,GPS
10-29 18,0,1,GPS
10-29 19,3,10,GPS
10-29 20,10,3,GPS
10-29 21,4,8,GPS
10-29 22,9,1,GPS
10-29 23,9,6,GPS
10-29 24,8,4,GPS
10-29 00,4,9,GLONASS
10-29 01,9,9,GLONASS
10-29 02,7,7,GLONASS
10-29 03,4,5,GLONASS
10-29 04,7,2,GLONASS
10-29 05,8,9,GLONASS
10-29 06,6,9,GLONASS
10-29 07,5,1,GLONASS
10-29 08,0,6,GLONASS
10-29 09,1,3,GLONASS
10-29 10,7,1,GLONASS
10-29 11,7,4,GLONASS
10-29 12,7,9,GLONASS
10-29 13,4,3,GLONASS
10-29 14,3,1,GLONASS
10-29 15,0,5,GLONASS
10-29 16,7,4,GLONASS
10-29 17,7,3,GLONASS
10-29 18,8,2,GLONASS
10-29 19,0,0,GLONASS
10-29 20,7,0,GLONASS
10-29 21,3,9,GLONASS
10-29 22,10,10,GLONASS
10-29 23,8,9,GLONASS
10-29 24,9,6,GLONASS
10-29 00,4,9,Galileo
10-29 01,4,5,Galileo
10-29 02,9,8,Galileo
10-29 03,5,9,Galileo
10-29 04,4,5,Galileo
10-29 05,6,1,Galileo
10-29 06,4,1,Galileo
10-29 07,4,5,Galileo
10-29 08,2,2,Galileo
10-29 09,9,2,Galileo
10-29 10,7,9,Galileo
10-29 11,5,9,Galileo
10-29 12,0,2,Galileo
10-29 13,6,8,Galileo
10-29 14,5,2,Galileo
10-29 15,6,6,Galileo
10-29 16,1,3,Galileo
10-29 17,6,7,Galileo
10-29 18,4,3,Galileo
10-29 19,2,4,Galileo
10-29 20,5,5,Galileo
10-29 21,6,9,Galileo
10-29 22,8,2,Galileo
10-29 23,10,2,Galileo
10-29 24,3,7,Galileo
10-29 00,8,4,BeiDou
10-29 01,4,2,BeiDou
10-29 02,1,5,BeiDou
10-29 03,6,7,BeiDou
10-29 04,9,0,BeiDou
10-29 05,10,4,BeiDou
10-29 06,2,2,BeiDou
10-29 07,3,5,BeiDou
10-29 08,6,9,BeiDou
10-29 09,6,10,BeiDou
10-29 10,4,9,BeiDou
10-29 11,7,1,BeiDou
10-29 12,6,5,BeiDou
10-29 13,8,2,BeiDou
10-29 14,9,3,BeiDou
10-29 15,5,3,BeiDou
10-29 16,0,1,BeiDou
10-29 17,7,6,BeiDou
10-29 18,9,7,BeiDou
10-29 19,7,2,BeiDou
10-29 20,7,6,BeiDou
10-29 21,2,5,BeiDou
10-29 22,4,3,BeiDou
10-29 23,6,7,BeiDou
10-29 24,2,9,BeiDou
10-29 24,2,9,BeiDou
10-30 00,1,6,GPS
10-30 01,6,3,GPS
10-30 02,15,4,GPS
10-30 03,3,4,GPS
10-30 04,6,4,GPS
10-30 05,2,4,GPS
10-30 06,8,1,GPS
10-30 07,0,1,GPS
10-30 08,0,1,GPS
10-30 09,0,3,GPS
10-30 10,3,3,GPS
10-30 11,6,9,GPS
10-30 12,7,12,GPS
10-30 13,12,11,GPS
10-30 14,3,1,GPS
10-30 15,11,0,GPS
10-30 16,7,0,GPS
10-30 17,7,3,GPS
10-30 18,7,5,GPS
10-30 19,7,7,GPS
10-30 20,0,1,GPS
10-30 21,2,4,GPS
10-30 22,5,4,GPS
10-30 23,12,9,GPS
10-30 24,11,7,GPS
10-30 00,14,1,GLONASS
10-30 01,11,3,GLONASS
10-30 02,11,5,GLONASS
10-30 03,11,6,GLONASS
10-30 04,3,10,GLONASS
10-30 05,2,1,GLONASS
10-30 06,6,3,GLONASS
10-30 07,9,4,GLONASS
10-30 08,2,2,GLONASS
10-30 09,1,7,GLONASS
10-30 10,0,2,GLONASS
10-30 11,3,9,GLONASS
10-30 12,4,0,GLONASS
10-30 13,3,1,GLONASS
10-30 14,4,4,GLONASS
10-30 15,1,2,GLONASS
10-30 16,1,2,GLONASS
10-30 17,1,3,GLONASS
10-30 18,8,6,GLONASS
10-30 19,12,3,GLONASS
10-30 20,7,7,GLONASS
10-30 21,3,2,GLONASS
10-30 22,1,10,GLONASS
10-30 23,9,3,GLONASS
10-30 24,9,11,GLONASS
10-30 00,1,12,Galileo
10-30 01,2,15,Galileo
10-30 02,3,13,Galileo
10-30 03,2,11,Galileo
10-30 04,3,12,Galileo
10-30 05,5,5,Galileo
10-30 06,5,5,Galileo
10-30 07,5,5,Galileo
10-30 08,5,3,Galileo
10-30 09,1,2,Galileo
10-30 10,7,6,Galileo
10-30 11,3,4,Galileo
10-30 12,10,12,Galileo
10-30 13,11,6,Galileo
10-30 14,15,2,Galileo
10-30 15,1,1,Galileo
10-30 16,2,2,Galileo
10-30 17,9,5,Galileo
10-30 18,9,3,Galileo
10-30 19,3,1,Galileo
10-30 20,7,2,Galileo
10-30 21,1,4,Galileo
10-30 22,6,8,Galileo
10-30 23,0,7,Galileo
10-30 24,0,9,Galileo
10-30 00,8,3,BeiDou
10-30 01,15,3,BeiDou
10-30 02,10,3,BeiDou
10-30 03,1,3,BeiDou
10-30 04,5,0,BeiDou
10-30 05,11,14,BeiDou
10-30 06,12,12,BeiDou
10-30 07,5,15,BeiDou
10-30 08,8,12,BeiDou
10-30 09,9,0,BeiDou
10-30 10,14,0,BeiDou
10-30 11,15,1,BeiDou
10-30 12,14,15,BeiDou
10-30 13,1,2,BeiDou
10-30 14,1,2,BeiDou
10-30 15,3,3,BeiDou
10-30 16,2,1,BeiDou
10-30 17,0,7,BeiDou
10-30 18,0,7,BeiDou
10-30 19,0,7,BeiDou
10-30 20,0,6,BeiDou
10-30 21,0,5,BeiDou
10-30 22,13,3,BeiDou
10-30 23,1,2,BeiDou
10-30 24,2,1,BeiDou
